08:07:39.635250 [INFO] === Test execution started ===
08:07:39.635262 [INFO] Output directory: reports/2026-08-26_08-07-39
08:07:39.635265 [INFO] Platform: 
08:07:39.635267 [INFO] Driver: uiautomator2
08:07:39.640346 [INFO] Validated 5 flow(s)
08:07:39.640377 [INFO] Single device execution mode
08:07:39.640381 [INFO] Starting flow execution (parallel: false, devices: [])
08:07:39.640385 [INFO] Creating driver for single device execution
08:07:39.640392 [INFO] Auto-detecting Android device...
08:07:39.685877 [INFO] Device info: google Android SDK built for x86, SDK 27, Serial emulator-5554, Emulator: true
08:07:44.441306 [INFO] Starting UIAutomator2 server on device emulator-5554
08:07:45.197802 [WARN] failed to remove default socket forward for /tmp/uia2-emulator-5554.sock: adb forward --remove localfilesystem:/tmp/uia2-emulator-5554.sock: exit status 1: adb: error: listener 'localfilesystem:/tmp/uia2-emulator-5554.sock' not found
08:07:45.199863 [WARN] failed to remove adb forward for tcp:6790: adb forward --remove tcp:6790: exit status 1: adb: error: listener 'tcp:6790' not found
08:07:46.370487 [INFO] Creating UIAutomator2 session with capabilities: Platform=Android, Device=Android SDK built for x86
08:07:46.404344 [INFO] Session created successfully: 82809581-8cf4-4a44-bf46-d30c4db9072f
08:07:46.491710 [INFO] Driver created: android on google Android SDK built for x86
08:07:46.500835 [INFO] === Starting flow: comment-recipe ===
08:07:46.500841 [INFO] Flow file: .maestro/community/comment-recipe.yaml
08:07:46.500843 [INFO] Total steps: 8
08:07:51.127070 [WARN] launchApp via server failed for com.tastopia.app: unknown command: The requested resource could not be found, or a request was received using an HTTP method that is not supported by the mapped resource — falling back to shell commands
08:07:53.449174 [DEBUG] Flutter: parallel search (text="", id="welcome-sign-in-button")
08:07:53.965443 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:54.242789 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:54.440049 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:54.709895 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:54.866965 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:55.076183 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:55.217738 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:55.426603 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:55.528007 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:55.634282 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
